qualify_id,race_id,driver_id,constructor_id,number,position,q1,q2,q3,ingestion_date
1,18,1,1,22,1,1:26.572,1:25.187,1:26.714,2023-08-19T22:56:02.814+05:30
2,18,9,2,4,2,1:26.103,1:25.315,1:26.869,2023-08-19T22:56:02.814+05:30
3,18,5,1,23,3,1:25.664,1:25.452,1:27.079,2023-08-19T22:56:02.814+05:30
4,18,13,6,2,4,1:25.994,1:25.691,1:27.178,2023-08-19T22:56:02.814+05:30
5,18,2,2,3,5,1:25.960,1:25.518,1:27.236,2023-08-19T22:56:02.814+05:30
6,18,15,7,11,6,1:26.427,1:26.101,1:28.527,2023-08-19T22:56:02.814+05:30
7,18,3,3,7,7,1:26.295,1:26.059,1:28.687,2023-08-19T22:56:02.814+05:30
8,18,14,9,9,8,1:26.381,1:26.063,1:29.041,2023-08-19T22:56:02.814+05:30
9,18,10,7,12,9,1:26.919,1:26.164,1:29.593,2023-08-19T22:56:02.814+05:30
10,18,20,5,15,10,1:26.702,1:25.842,\N,2023-08-19T22:56:02.814+05:30
11,18,22,11,17,11,1:26.369,1:26.173,\N,2023-08-19T22:56:02.814+05:30
12,18,4,4,5,12,1:26.907,1:26.188,\N,2023-08-19T22:56:02.814+05:30
13,18,18,11,16,13,1:26.712,1:26.259,\N,2023-08-19T22:56:02.814+05:30
14,18,6,3,8,14,1:26.891,1:26.413,\N,2023-08-19T22:56:02.814+05:30
15,18,17,9,10,15,1:26.914,\N,\N,2023-08-19T22:56:02.814+05:30
16,18,8,6,1,16,1:26.140,\N,\N,2023-08-19T22:56:02.814+05:30
17,18,21,10,21,17,1:27.207,\N,\N,2023-08-19T22:56:02.814+05:30
18,18,7,5,14,18,1:27.446,\N,\N,2023-08-19T22:56:02.814+05:30
19,18,16,10,20,19,1:27.859,\N,\N,2023-08-19T22:56:02.814+05:30
20,18,11,8,18,20,1:28.208,\N,\N,2023-08-19T22:56:02.814+05:30
21,18,12,4,6,21,1:28.330,\N,\N,2023-08-19T22:56:02.814+05:30
22,18,19,8,19,22,1:29.059,\N,\N,2023-08-19T22:56:02.814+05:30
23,19,13,6,2,1,1:35.347,1:34.412,1:35.748,2023-08-19T22:56:02.814+05:30
24,19,8,6,1,2,1:35.645,1:34.188,1:36.230,2023-08-19T22:56:02.814+05:30
25,19,5,1,23,3,1:35.227,1:34.759,1:36.613,2023-08-19T22:56:02.814+05:30
26,19,1,1,22,4,1:35.392,1:34.627,1:36.709,2023-08-19T22:56:02.814+05:30
27,19,15,7,11,5,1:35.205,1:34.960,1:36.711,2023-08-19T22:56:02.814+05:30
28,19,9,2,4,6,1:35.794,1:34.811,1:36.727,2023-08-19T22:56:02.814+05:30
29,19,2,2,3,7,1:35.729,1:34.648,1:36.753,2023-08-19T22:56:02.814+05:30
30,19,17,9,10,8,1:35.440,1:34.967,1:37.009,2023-08-19T22:56:02.814+05:30
31,19,4,4,5,9,1:35.983,1:35.140,1:38.450,2023-08-19T22:56:02.814+05:30
32,19,10,7,12,10,1:35.891,1:35.000,1:39.656,2023-08-19T22:56:02.814+05:30
33,19,18,11,16,11,1:35.847,1:35.208,\N,2023-08-19T22:56:02.814+05:30
34,19,14,9,9,12,1:36.058,1:35.408,\N,2023-08-19T22:56:02.814+05:30
35,19,12,4,6,13,1:36.074,1:35.562,\N,2023-08-19T22:56:02.814+05:30
36,19,22,11,17,14,1:36.198,1:35.622,\N,2023-08-19T22:56:02.814+05:30
37,19,20,5,15,15,1:36.111,1:35.648,\N,2023-08-19T22:56:02.814+05:30
38,19,3,3,7,16,1:35.843,1:35.670,\N,2023-08-19T22:56:02.814+05:30
39,19,21,10,21,17,1:36.240,\N,\N,2023-08-19T22:56:02.814+05:30
40,19,6,3,8,18,1:36.388,\N,\N,2023-08-19T22:56:02.814+05:30
41,19,7,5,14,19,1:36.677,\N,\N,2023-08-19T22:56:02.814+05:30
42,19,11,8,18,20,1:37.087,\N,\N,2023-08-19T22:56:02.814+05:30
43,19,16,10,20,21,1:37.101,\N,\N,2023-08-19T22:56:02.814+05:30
44,19,19,8,19,22,1:37.481,\N,\N,2023-08-19T22:56:02.814+05:30
45,20,9,2,4,1,1:32.893,1:31.745,1:33.096,2023-08-19T22:56:02.814+05:30
46,20,13,6,2,2,1:31.937,1:31.188,1:33.123,2023-08-19T22:56:02.814+05:30
47,20,1,1,22,3,1:32.750,1:31.922,1:33.292,2023-08-19T22:56:02.814+05:30
48,20,8,6,1,4,1:32.652,1:31.933,1:33.418,2023-08-19T22:56:02.814+05:30
49,20,5,1,23,5,1:33.057,1:31.718,1:33.488,2023-08-19T22:56:02.814+05:30
50,20,2,2,3,6,1:33.137,1:31.909,1:33.737,2023-08-19T22:56:02.814+05:30
51,20,15,7,11,7,1:32.493,1:32.159,1:33.994,2023-08-19T22:56:02.814+05:30
52,20,3,3,7,8,1:32.903,1:32.185,1:34.015,2023-08-19T22:56:02.814+05:30
53,20,18,11,16,9,1:32.793,1:32.362,1:35.057,2023-08-19T22:56:02.814+05:30
54,20,4,4,5,10,1:32.947,1:32.345,1:35.115,2023-08-19T22:56:02.814+05:30
55,20,17,9,10,11,1:33.194,1:32.371,\N,2023-08-19T22:56:02.814+05:30
56,20,22,11,17,12,1:32.944,1:32.508,\N,2023-08-19T22:56:02.814+05:30
57,20,10,7,12,13,1:32.800,1:32.528,\N,2023-08-19T22:56:02.814+05:30
58,20,12,4,6,14,1:32.975,1:32.790,\N,2023-08-19T22:56:02.814+05:30
59,20,7,5,14,15,1:33.415,1:32.915,\N,2023-08-19T22:56:02.814+05:30
60,20,6,3,8,16,1:33.386,1:32.943,\N,2023-08-19T22:56:02.814+05:30
61,20,14,9,9,17,1:33.433,\N,\N,2023-08-19T22:56:02.814+05:30
62,20,21,10,21,18,1:33.501,\N,\N,2023-08-19T22:56:02.814+05:30
63,20,20,5,15,19,1:33.562,\N,\N,2023-08-19T22:56:02.814+05:30
64,20,16,10,20,20,1:33.845,\N,\N,2023-08-19T22:56:02.814+05:30
65,20,19,8,19,21,1:34.140,\N,\N,2023-08-19T22:56:02.814+05:30
66,20,11,8,18,22,1:35.725,\N,\N,2023-08-19T22:56:02.814+05:30
67,21,8,6,1,1,1:20.701,1:20.784,1:21.813,2023-08-19T22:56:02.814+05:30
68,21,4,4,5,2,1:21.347,1:20.804,1:21.904,2023-08-19T22:56:02.814+05:30
69,21,13,6,2,3,1:21.528,1:20.584,1:22.058,2023-08-19T22:56:02.814+05:30
70,21,9,2,4,4,1:21.423,1:20.597,1:22.065,2023-08-19T22:56:02.814+05:30
71,21,1,1,22,5,1:21.366,1:20.825,1:22.096,2023-08-19T22:56:02.814+05:30
72,21,5,1,23,6,1:21.430,1:20.817,1:22.231,2023-08-19T22:56:02.814+05:30
73,21,17,9,10,7,1:21.494,1:20.984,1:22.429,2023-08-19T22:56:02.814+05:30
74,21,15,7,11,8,1:21.158,1:20.907,1:22.529,2023-08-19T22:56:02.814+05:30
75,21,2,2,3,9,1:21.466,1:20.815,1:22.542,2023-08-19T22:56:02.814+05:30
76,21,12,4,6,10,1:21.409,1:20.894,1:22.699,2023-08-19T22:56:02.814+05:30
77,21,22,11,17,11,1:21.548,1:21.049,\N,2023-08-19T22:56:02.814+05:30
78,21,6,3,8,12,1:21.690,1:21.117,\N,2023-08-19T22:56:02.814+05:30
79,21,18,11,16,13,1:21.757,1:21.211,\N,2023-08-19T22:56:02.814+05:30
80,21,10,7,12,14,1:21.427,1:21.230,\N,2023-08-19T22:56:02.814+05:30
81,21,3,3,7,15,1:21.472,1:21.349,\N,2023-08-19T22:56:02.814+05:30
82,21,7,5,14,16,1:21.540,1:21.724,\N,2023-08-19T22:56:02.814+05:30
83,21,14,9,9,17,1:21.810,\N,\N,2023-08-19T22:56:02.814+05:30
84,21,20,5,15,18,1:22.108,\N,\N,2023-08-19T22:56:02.814+05:30
85,21,21,10,21,19,1:22.516,\N,\N,2023-08-19T22:56:02.814+05:30
86,21,16,10,20,20,1:23.224,\N,\N,2023-08-19T22:56:02.814+05:30
87,21,19,8,19,21,1:23.318,\N,\N,2023-08-19T22:56:02.814+05:30
88,21,11,8,18,22,1:23.496,\N,\N,2023-08-19T22:56:02.814+05:30
89,22,13,6,2,1,1:25.994,1:26.192,1:27.617,2023-08-19T22:56:02.814+05:30
90,22,5,1,23,2,1:26.736,1:26.290,1:27.808,2023-08-19T22:56:02.814+05:30
91,22,1,1,22,3,1:26.192,1:26.477,1:27.923,2023-08-19T22:56:02.814+05:30
92,22,8,6,1,4,1:26.457,1:26.050,1:27.936,2023-08-19T22:56:02.814+05:30
93,22,9,2,4,5,1:26.761,1:26.129,1:28.390,2023-08-19T22:56:02.814+05:30
94,22,17,9,10,6,1:26.773,1:26.466,1:28.417,2023-08-19T22:56:02.814+05:30
95,22,4,4,5,7,1:26.836,1:26.522,1:28.422,2023-08-19T22:56:02.814+05:30
96,22,15,7,11,8,1:26.695,1:26.822,1:28.836,2023-08-19T22:56:02.814+05:30
97,22,2,2,3,9,1:27.107,1:27.607,1:28.882,2023-08-19T22:56:02.814+05:30
98,22,14,9,9,10,1:26.939,1:26.520,1:29.959,2023-08-19T22:56:02.814+05:30
99,22,3,3,7,11,1:27.367,1:27.012,\N,2023-08-19T22:56:02.814+05:30
100,22,22,11,17,12,1:27.355,1:27.219,\N,2023-08-19T22:56:02.814+05:30
101,22,18,11,16,13,1:27.428,1:27.298,\N,2023-08-19T22:56:02.814+05:30
102,22,20,5,15,14,1:27.442,1:27.412,\N,2023-08-19T22:56:02.814+05:30
103,22,10,7,12,15,1:26.614,1:27.806,\N,2023-08-19T22:56:02.814+05:30
104,22,6,3,8,16,1:27.547,\N,\N,2023-08-19T22:56:02.814+05:30
105,22,12,4,6,17,1:27.568,\N,\N,2023-08-19T22:56:02.814+05:30
106,22,7,5,14,18,1:27.621,\N,\N,2023-08-19T22:56:02.814+05:30
107,22,21,10,21,19,1:27.807,\N,\N,2023-08-19T22:56:02.814+05:30
108,22,16,10,20,20,1:28.325,\N,\N,2023-08-19T22:56:02.814+05:30
109,23,13,6,2,1,1:15.190,1:15.110,1:15.787,2023-08-19T22:56:02.814+05:30
110,23,8,6,1,2,1:15.717,1:15.404,1:15.815,2023-08-19T22:56:02.814+05:30
111,23,1,1,22,3,1:15.582,1:15.322,1:15.839,2023-08-19T22:56:02.814+05:30
112,23,5,1,23,4,1:15.295,1:15.389,1:16.165,2023-08-19T22:56:02.814+05:30
113,23,9,2,4,5,1:15.977,1:15.483,1:16.171,2023-08-19T22:56:02.814+05:30
114,23,3,3,7,6,1:15.935,1:15.287,1:16.548,2023-08-19T22:56:02.814+05:30
115,23,4,4,5,7,1:16.646,1:15.827,1:16.852,2023-08-19T22:56:02.814+05:30
116,23,15,7,11,8,1:16.306,1:15.598,1:17.203,2023-08-19T22:56:02.814+05:30
117,23,17,9,10,9,1:16.074,1:15.745,1:17.343,2023-08-19T22:56:02.814+05:30
118,23,14,9,9,10,1:16.086,1:15.839,\N,2023-08-19T22:56:02.814+05:30
119,23,10,7,12,11,1:16.285,1:15.907,\N,2023-08-19T22:56:02.814+05:30
120,23,18,11,16,12,1:16.259,1:16.101,\N,2023-08-19T22:56:02.814+05:30
121,23,2,2,3,13,1:16.650,1:16.455,\N,2023-08-19T22:56:02.814+05:30
122,23,6,3,8,14,1:16.756,1:16.479,\N,2023-08-19T22:56:02.814+05:30
123,23,22,11,17,15,1:16.208,1:16.537,\N,2023-08-19T22:56:02.814+05:30
124,23,7,5,14,16,1:16.806,\N,\N,2023-08-19T22:56:02.814+05:30
125,23,12,4,6,17,1:16.933,\N,\N,2023-08-19T22:56:02.814+05:30
126,23,20,5,15,18,1:16.955,\N,\N,2023-08-19T22:56:02.814+05:30
127,23,16,10,20,19,1:17.225,\N,\N,2023-08-19T22:56:02.814+05:30
128,23,21,10,21,20,1:17.823,\N,\N,2023-08-19T22:56:02.814+05:30
129,24,1,1,22,1,1:16.909,1:17.034,1:17.886,2023-08-19T22:56:02.814+05:30
130,24,9,2,4,2,1:17.471,1:17.679,1:18.498,2023-08-19T22:56:02.814+05:30
131,24,8,6,1,3,1:17.301,1:17.364,1:18.735,2023-08-19T22:56:02.814+05:30
132,24,4,4,5,4,1:17.415,1:17.488,1:18.746,2023-08-19T22:56:02.814+05:30
133,24,3,3,7,5,1:17.991,1:17.891,1:18.844,2023-08-19T22:56:02.814+05:30
134,24,13,6,2,6,1:17.231,1:17.353,1:19.048,2023-08-19T22:56:02.814+05:30
135,24,5,1,23,7,1:17.287,1:17.684,1:19.089,2023-08-19T22:56:02.814+05:30
136,24,2,2,3,8,1:18.082,1:17.781,1:19.633,2023-08-19T22:56:02.814+05:30
137,24,22,11,17,9,1:18.256,1:18.020,1:20.848,2023-08-19T22:56:02.814+05:30
138,24,17,9,10,10,1:17.582,1:17.523,\N,2023-08-19T22:56:02.814+05:30
139,24,10,7,12,11,1:18.321,1:18.031,\N,2023-08-19T22:56:02.814+05:30
140,24,6,3,8,12,1:17.638,1:18.062,\N,2023-08-19T22:56:02.814+05:30
141,24,14,9,9,13,1:18.168,1:18.238,\N,2023-08-19T22:56:02.814+05:30
142,24,15,7,11,14,1:18.039,1:18.327,\N,2023-08-19T22:56:02.814+05:30
143,24,12,4,6,15,1:18.505,1:18.393,\N,2023-08-19T22:56:02.814+05:30
144,24,7,5,14,16,1:18.916,\N,\N,2023-08-19T22:56:02.814+05:30
145,24,16,10,20,17,1:19.108,\N,\N,2023-08-19T22:56:02.814+05:30
146,24,21,10,21,18,1:19.165,\N,\N,2023-08-19T22:56:02.814+05:30
147,24,18,11,16,19,1:23.565,\N,\N,2023-08-19T22:56:02.814+05:30
148,24,20,5,15,20,\N,\N,\N,2023-08-19T22:56:02.814+05:30
149,25,8,6,1,1,1:15.133,1:15.161,1:16.449,2023-08-19T22:56:02.814+05:30
150,25,13,6,2,2,1:15.024,1:15.041,1:16.490,2023-08-19T22:56:02.814+05:30
151,25,1,1,22,3,1:15.634,1:15.293,1:16.693,2023-08-19T22:56:02.814+05:30
152,25,4,4,5,4,1:15.754,1:15.483,1:16.840,2023-08-19T22:56:02.814+05:30
153,25,15,7,11,5,1:15.521,1:15.362,1:16.920,2023-08-19T22:56:02.814+05:30
154,25,5,1,23,6,1:15.965,1:15.639,1:16.944,2023-08-19T22:56:02.814+05:30
155,25,9,2,4,7,1:15.687,1:15.723,1:17.037,2023-08-19T22:56:02.814+05:30
156,25,17,9,10,8,1:16.020,1:15.488,1:17.233,2023-08-19T22:56:02.814+05:30
157,25,14,9,9,9,1:15.802,1:15.654,1:17.426,2023-08-19T22:56:02.814+05:30
158,25,10,7,12,10,1:15.727,1:15.558,1:17.596,2023-08-19T22:56:02.814+05:30
159,25,12,4,6,11,1:15.848,1:15.770,\N,2023-08-19T22:56:02.814+05:30
160,25,2,2,3,12,1:16.006,1:15.786,\N,2023-08-19T22:56:02.814+05:30
161,25,20,5,15,13,1:15.918,1:15.816,\N,2023-08-19T22:56:02.814+05:30
162,25,7,5,14,14,1:16.072,1:16.045,\N,2023-08-19T22:56:02.814+05:30
163,25,3,3,7,15,1:16.085,1:16.235,\N,2023-08-19T22:56:02.814+05:30
164,25,6,3,8,16,1:16.243,\N,\N,2023-08-19T22:56:02.814+05:30
165,25,18,11,16,17,1:16.306,\N,\N,2023-08-19T22:56:02.814+05:30
166,25,22,11,17,18,1:16.330,\N,\N,2023-08-19T22:56:02.814+05:30
167,25,21,10,21,19,1:16.971,\N,\N,2023-08-19T22:56:02.814+05:30
168,25,16,10,20,20,1:17.053,\N,\N,2023-08-19T22:56:02.814+05:30
