result_id,race_id,driver_id,constructor_id,number,grid,position,position_text,position_order,points,laps,time,milliseconds,fastest_lap,rank,fastest_lap_time,fastest_lap_speed,ingestion_date
19808,823,475,151,36,18,"",R,11,0.0,73,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19809,823,758,133,30,14,"",N,12,0.0,70,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19810,823,744,125,22,13,"",R,13,0.0,27,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19811,823,735,6,24,17,"",R,14,0.0,19,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19812,823,632,141,14,11,"",R,15,0.0,15,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19813,823,554,128,8,6,"",R,16,0.0,10,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19814,823,759,105,20,15,"",R,17,0.0,7,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19815,823,746,105,18,12,"",R,18,0.0,4,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19816,824,647,6,12,1,1,1,1,8.5,80,2:50:45.6,10245600,"","",\N,"",2023-08-19T22:50:32.175+05:30
19817,824,498,105,26,5,2,2,2,6.5,80,+1:01.8,10307400,"","",\N,"",2023-08-19T22:50:32.175+05:30
19818,824,633,6,16,2,3,3,3,4.0,80,+2:04.2,10369800,"","",\N,"",2023-08-19T22:50:32.175+05:30
19819,824,642,6,10,3,4,4,4,3.0,80,+2:11.4,10377000,"","",\N,"",2023-08-19T22:50:32.175+05:30
19820,824,697,105,22,13,5,5,5,2.0,79,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19821,824,609,6,8,8,6,6,6,0.0,79,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19822,824,641,6,14,6,7,7,7,0.0,77,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19823,824,622,105,48,18,8,8,8,0.0,76,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19824,824,663,87,40,15,9,9,9,0.0,76,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19825,824,627,6,62,17,10,10,10,0.0,75,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19826,824,748,105,50,23,11,11,11,0.0,75,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19827,824,742,125,30,19,12,12,12,0.0,74,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19828,824,688,87,36,20,13,13,13,0.0,73,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19829,824,626,128,2,7,14,14,14,0.0,71,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19830,824,689,87,38,12,15,15,15,0.0,68,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19831,824,475,125,32,1,"",R,16,0.0,60,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19832,824,746,105,46,25,"",R,17,0.0,46,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19833,824,554,128,6,11,"",R,18,0.0,42,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19834,824,578,87,42,12,"",N,19,0.0,38,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19835,824,762,105,24,16,"",R,20,0.0,24,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19836,824,427,128,4,4,"",R,21,0.0,5,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19837,824,664,125,28,2,"",R,22,0.0,4,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19838,824,723,6,18,16,"",R,23,0.0,3,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19839,824,625,127,34,10,"",R,24,0.0,0,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19840,824,735,6,70,0,"",F,25,0.0,0,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19841,824,761,105,58,0,"",F,26,0.0,0,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19842,824,640,105,60,0,"",F,27,0.0,0,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19843,824,581,133,54,0,"",F,28,0.0,0,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19844,824,687,6,68,0,"",F,29,0.0,0,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19845,824,738,133,56,0,"",F,30,0.0,0,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19846,824,749,152,64,0,"",F,31,0.0,0,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19847,824,651,133,52,0,"",F,32,0.0,0,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19848,824,717,6,20,0,"",F,33,0.0,0,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19849,824,760,153,44,0,"",F,34,0.0,0,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19850,824,660,141,66,0,"",F,35,0.0,0,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19851,825,579,51,24,1,1,1,1,9.0,42,2:07:53.64,7673640,"","",\N,"",2023-08-19T22:50:32.175+05:30
19852,825,641,6,44,6,2,2,2,6.0,42,+55.24,7728880,"","",\N,"",2023-08-19T22:50:32.175+05:30
19853,825,642,51,22,2,3,3,3,4.0,42,+1:19.31,7752950,"","",\N,"",2023-08-19T22:50:32.175+05:30
19854,825,763,51,28,4,4,4,4,3.0,41,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19855,825,640,51,26,5,5,5,5,2.0,40,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19856,825,647,6,20,7,6,6,6,0.0,40,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19857,825,589,105,30,19,7,7,7,0.0,40,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19858,825,475,133,14,14,8,8,8,0.0,40,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19859,825,627,154,8,8,9,9,9,0.0,39,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19860,825,741,154,4,12,10,10,10,0.0,39,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19861,825,723,6,38,10,11,11,11,0.0,39,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19862,825,501,105,32,17,12,12,12,0.0,38,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19863,825,660,154,2,18,13,13,13,0.0,35,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19864,825,764,154,40,21,14,14,14,0.0,31,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19865,825,687,6,16,9,"",R,15,0.0,36,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19866,825,765,154,10,11,"",R,16,0.0,30,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19867,825,725,133,12,20,"",R,17,0.0,23,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19868,825,704,154,6,15,"",R,18,0.0,14,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19869,825,633,6,18,3,"",R,19,0.0,12,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19870,825,498,154,42,13,"",R,20,0.0,10,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
19871,825,721,144,52,16,"",R,21,0.0,0,\N,"","","",\N,"",2023-08-19T22:50:32.175+05:30
