constructor_id,constructor_ref,name,nationality,ingestion_date
1,mclaren,McLaren,British,2023-08-19T21:49:50.313+05:30
2,bmw_sauber,BMW Sauber,German,2023-08-19T21:49:50.313+05:30
3,williams,Williams,British,2023-08-19T21:49:50.313+05:30
4,renault,Renault,French,2023-08-19T21:49:50.313+05:30
5,toro_rosso,Toro Rosso,Italian,2023-08-19T21:49:50.313+05:30
6,ferrari,Ferrari,Italian,2023-08-19T21:49:50.313+05:30
7,toyota,Toyota,Japanese,2023-08-19T21:49:50.313+05:30
8,super_aguri,Super Aguri,Japanese,2023-08-19T21:49:50.313+05:30
9,red_bull,Red Bull,Austrian,2023-08-19T21:49:50.313+05:30
10,force_india,Force India,Indian,2023-08-19T21:49:50.313+05:30
11,honda,Honda,Japanese,2023-08-19T21:49:50.313+05:30
12,spyker,Spyker,Dutch,2023-08-19T21:49:50.313+05:30
13,mf1,MF1,Russian,2023-08-19T21:49:50.313+05:30
14,spyker_mf1,Spyker MF1,Dutch,2023-08-19T21:49:50.313+05:30
15,sauber,Sauber,Swiss,2023-08-19T21:49:50.313+05:30
16,bar,BAR,British,2023-08-19T21:49:50.313+05:30
17,jordan,Jordan,Irish,2023-08-19T21:49:50.313+05:30
18,minardi,Minardi,Italian,2023-08-19T21:49:50.313+05:30
19,jaguar,Jaguar,British,2023-08-19T21:49:50.313+05:30
20,prost,Prost,French,2023-08-19T21:49:50.313+05:30
21,arrows,Arrows,British,2023-08-19T21:49:50.313+05:30
22,benetton,Benetton,Italian,2023-08-19T21:49:50.313+05:30
23,brawn,Brawn,British,2023-08-19T21:49:50.313+05:30
24,stewart,Stewart,British,2023-08-19T21:49:50.313+05:30
25,tyrrell,Tyrrell,British,2023-08-19T21:49:50.313+05:30
26,lola,Lola,British,2023-08-19T21:49:50.313+05:30
27,ligier,Ligier,French,2023-08-19T21:49:50.313+05:30
28,forti,Forti,Italian,2023-08-19T21:49:50.313+05:30
29,footwork,Footwork,British,2023-08-19T21:49:50.313+05:30
30,pacific,Pacific,British,2023-08-19T21:49:50.313+05:30
31,simtek,Simtek,British,2023-08-19T21:49:50.313+05:30
32,team_lotus,Team Lotus,British,2023-08-19T21:49:50.313+05:30
33,larrousse,Larrousse,French,2023-08-19T21:49:50.313+05:30
34,brabham,Brabham,British,2023-08-19T21:49:50.313+05:30
35,dallara,Dallara,Italian,2023-08-19T21:49:50.313+05:30
36,fondmetal,Fondmetal,Italian,2023-08-19T21:49:50.313+05:30
37,march,March,British,2023-08-19T21:49:50.313+05:30
38,moda,Andrea Moda,Italian,2023-08-19T21:49:50.313+05:30
39,ags,AGS,French,2023-08-19T21:49:50.313+05:30
40,lambo,Lambo,Italian,2023-08-19T21:49:50.313+05:30
41,leyton,Leyton House,British,2023-08-19T21:49:50.313+05:30
42,coloni,Coloni,Italian,2023-08-19T21:49:50.313+05:30
44,eurobrun,Euro Brun,Italian,2023-08-19T21:49:50.313+05:30
45,osella,Osella,Italian,2023-08-19T21:49:50.313+05:30
46,onyx,Onyx,British,2023-08-19T21:49:50.313+05:30
47,life,Life,Italian,2023-08-19T21:49:50.313+05:30
48,rial,Rial,German,2023-08-19T21:49:50.313+05:30
49,zakspeed,Zakspeed,German,2023-08-19T21:49:50.313+05:30
50,ram,RAM,British,2023-08-19T21:49:50.313+05:30
51,alfa,Alfa Romeo,Italian,2023-08-19T21:49:50.313+05:30
52,spirit,Spirit,British,2023-08-19T21:49:50.313+05:30
53,toleman,Toleman,British,2023-08-19T21:49:50.313+05:30
54,ats,ATS,Italian,2023-08-19T21:49:50.313+05:30
55,theodore,Theodore,Hong Kong,2023-08-19T21:49:50.313+05:30
56,fittipaldi,Fittipaldi,Brazilian,2023-08-19T21:49:50.313+05:30
57,ensign,Ensign,British,2023-08-19T21:49:50.313+05:30
58,shadow,Shadow,British,2023-08-19T21:49:50.313+05:30
59,wolf,Wolf,Canadian,2023-08-19T21:49:50.313+05:30
60,merzario,Merzario,Italian,2023-08-19T21:49:50.313+05:30
61,kauhsen,Kauhsen,German,2023-08-19T21:49:50.313+05:30
62,rebaque,Rebaque,Mexican,2023-08-19T21:49:50.313+05:30
63,surtees,Surtees,British,2023-08-19T21:49:50.313+05:30
64,hesketh,Hesketh,British,2023-08-19T21:49:50.313+05:30
65,martini,Martini,French,2023-08-19T21:49:50.313+05:30
66,brm,BRM,British,2023-08-19T21:49:50.313+05:30
67,penske,Penske,American,2023-08-19T21:49:50.313+05:30
68,lec,LEC,British,2023-08-19T21:49:50.313+05:30
69,mcguire,McGuire,Australian,2023-08-19T21:49:50.313+05:30
70,boro,Boro,Dutch,2023-08-19T21:49:50.313+05:30
71,apollon,Apollon,Swiss,2023-08-19T21:49:50.313+05:30
72,kojima,Kojima,Japanese,2023-08-19T21:49:50.313+05:30
73,parnelli,Parnelli,American,2023-08-19T21:49:50.313+05:30
74,maki,Maki,Japanese,2023-08-19T21:49:50.313+05:30
75,hill,Embassy Hill,British,2023-08-19T21:49:50.313+05:30
76,lyncar,Lyncar,British,2023-08-19T21:49:50.313+05:30
77,trojan,Trojan,British,2023-08-19T21:49:50.313+05:30
78,amon,Amon,New Zealand,2023-08-19T21:49:50.313+05:30
79,token,Token,British,2023-08-19T21:49:50.313+05:30
80,iso_marlboro,Iso Marlboro,British,2023-08-19T21:49:50.313+05:30
