race_id,round,circuit_id,name,ingestion_date,race_timestamp,race_year
808,1,25,Argentine Grand Prix,2023-08-19T21:45:55.991+05:30,"",1953
809,2,19,Indianapolis 500,2023-08-19T21:45:55.991+05:30,"",1953
810,3,39,Dutch Grand Prix,2023-08-19T21:45:55.991+05:30,"",1953
811,4,13,Belgian Grand Prix,2023-08-19T21:45:55.991+05:30,"",1953
812,5,55,French Grand Prix,2023-08-19T21:45:55.991+05:30,"",1953
813,6,9,British Grand Prix,2023-08-19T21:45:55.991+05:30,"",1953
814,7,20,German Grand Prix,2023-08-19T21:45:55.991+05:30,"",1953
815,8,66,Swiss Grand Prix,2023-08-19T21:45:55.991+05:30,"",1953
816,9,14,Italian Grand Prix,2023-08-19T21:45:55.991+05:30,"",1953
738,1,6,Monaco Grand Prix,2023-08-19T21:45:55.991+05:30,"",1961
739,2,39,Dutch Grand Prix,2023-08-19T21:45:55.991+05:30,"",1961
740,3,13,Belgian Grand Prix,2023-08-19T21:45:55.991+05:30,"",1961
741,4,55,French Grand Prix,2023-08-19T21:45:55.991+05:30,"",1961
742,5,58,British Grand Prix,2023-08-19T21:45:55.991+05:30,"",1961
743,6,20,German Grand Prix,2023-08-19T21:45:55.991+05:30,"",1961
744,7,14,Italian Grand Prix,2023-08-19T21:45:55.991+05:30,"",1961
745,8,46,United States Grand Prix,2023-08-19T21:45:55.991+05:30,"",1961
776,1,25,Argentine Grand Prix,2023-08-19T21:45:55.991+05:30,"",1957
777,2,6,Monaco Grand Prix,2023-08-19T21:45:55.991+05:30,"",1957
778,3,19,Indianapolis 500,2023-08-19T21:45:55.991+05:30,"",1957
779,4,53,French Grand Prix,2023-08-19T21:45:55.991+05:30,"",1957
780,5,58,British Grand Prix,2023-08-19T21:45:55.991+05:30,"",1957
781,6,20,German Grand Prix,2023-08-19T21:45:55.991+05:30,"",1957
782,7,65,Pescara Grand Prix,2023-08-19T21:45:55.991+05:30,"",1957
783,8,14,Italian Grand Prix,2023-08-19T21:45:55.991+05:30,"",1957
784,1,25,Argentine Grand Prix,2023-08-19T21:45:55.991+05:30,"",1956
785,2,6,Monaco Grand Prix,2023-08-19T21:45:55.991+05:30,"",1956
786,3,19,Indianapolis 500,2023-08-19T21:45:55.991+05:30,"",1956
787,4,13,Belgian Grand Prix,2023-08-19T21:45:55.991+05:30,"",1956
788,5,55,French Grand Prix,2023-08-19T21:45:55.991+05:30,"",1956
789,6,9,British Grand Prix,2023-08-19T21:45:55.991+05:30,"",1956
790,7,20,German Grand Prix,2023-08-19T21:45:55.991+05:30,"",1956
791,8,14,Italian Grand Prix,2023-08-19T21:45:55.991+05:30,"",1956
825,1,66,Swiss Grand Prix,2023-08-19T21:45:55.991+05:30,"",1951
826,2,19,Indianapolis 500,2023-08-19T21:45:55.991+05:30,"",1951
827,3,13,Belgian Grand Prix,2023-08-19T21:45:55.991+05:30,"",1951
828,4,55,French Grand Prix,2023-08-19T21:45:55.991+05:30,"",1951
829,5,9,British Grand Prix,2023-08-19T21:45:55.991+05:30,"",1951
830,6,20,German Grand Prix,2023-08-19T21:45:55.991+05:30,"",1951
831,7,14,Italian Grand Prix,2023-08-19T21:45:55.991+05:30,"",1951
832,8,67,Spanish Grand Prix,2023-08-19T21:45:55.991+05:30,"",1951
817,1,66,Swiss Grand Prix,2023-08-19T21:45:55.991+05:30,"",1952
818,2,19,Indianapolis 500,2023-08-19T21:45:55.991+05:30,"",1952
819,3,13,Belgian Grand Prix,2023-08-19T21:45:55.991+05:30,"",1952
820,4,53,French Grand Prix,2023-08-19T21:45:55.991+05:30,"",1952
821,5,9,British Grand Prix,2023-08-19T21:45:55.991+05:30,"",1952
822,6,20,German Grand Prix,2023-08-19T21:45:55.991+05:30,"",1952
823,7,39,Dutch Grand Prix,2023-08-19T21:45:55.991+05:30,"",1952
824,8,14,Italian Grand Prix,2023-08-19T21:45:55.991+05:30,"",1952
792,1,25,Argentine Grand Prix,2023-08-19T21:45:55.991+05:30,"",1955
793,2,6,Monaco Grand Prix,2023-08-19T21:45:55.991+05:30,"",1955
794,3,19,Indianapolis 500,2023-08-19T21:45:55.991+05:30,"",1955
795,4,13,Belgian Grand Prix,2023-08-19T21:45:55.991+05:30,"",1955
796,5,39,Dutch Grand Prix,2023-08-19T21:45:55.991+05:30,"",1955
797,6,58,British Grand Prix,2023-08-19T21:45:55.991+05:30,"",1955
798,7,14,Italian Grand Prix,2023-08-19T21:45:55.991+05:30,"",1955
833,1,9,British Grand Prix,2023-08-19T21:45:55.991+05:30,"",1950
834,2,6,Monaco Grand Prix,2023-08-19T21:45:55.991+05:30,"",1950
835,3,19,Indianapolis 500,2023-08-19T21:45:55.991+05:30,"",1950
836,4,66,Swiss Grand Prix,2023-08-19T21:45:55.991+05:30,"",1950
837,5,13,Belgian Grand Prix,2023-08-19T21:45:55.991+05:30,"",1950
838,6,55,French Grand Prix,2023-08-19T21:45:55.991+05:30,"",1950
839,7,14,Italian Grand Prix,2023-08-19T21:45:55.991+05:30,"",1950
