team_name,total_races,total_points,avg_points
Mercedes,385,2931,7.612987012987013
Ferrari,1478,10500,7.104194857916103
McLaren,1032,6865,6.6521317829457365
Red Bull,433,2851,6.584295612009238
Williams,745,4759,6.387919463087249
Benetton,296,1806,6.101351351351352
Team Lotus,352,2100,5.965909090909091
Cooper-Climax,130,772,5.938461538461539
Brabham,235,1373,5.842553191489362
BRM,215,1212,5.637209302325582
Renault,385,2105,5.467532467532467
Maserati,179,950,5.307262569832402
Tyrrell,339,1749,5.15929203539823
Jordan,184,882,4.793478260869565
Ligier,248,1134,4.57258064516129
BAR,112,509,4.544642857142857
Toyota,130,535,4.115384615384615
March,136,550,4.044117647058823
Arrows,196,730,3.7244897959183674
Sauber,298,1058,3.5503355704697985
Force India,211,742,3.5165876777251186
Minardi,113,330,2.920353982300885
Toro Rosso,158,438,2.7721518987341773
