race_id,driver_id,constructor_id,position,constructor_ref,name_x_x,nationality_x,driver_ref,code,name_y_x,dob,nationality_y,round,circuit_id,name_x_y,race_year,circuit_ref,name_y_y,location,country,latitude,longitude,altitude,grid_y,position_order,points_y,laps_y,stop,lap,time,milliseconds_y
1053,,,,,,,,,,,,2,21,Emilia Romagna Grand Prix,2021,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167,37,,,,,,,,
1052,,,,,,,,,,,,1,3,Bahrain Grand Prix,2021,bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,7,,,,,,,,
1051,,,,,,,,,,,,21,1,Australian Grand Prix,2021,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,,,,,,,,
1054,,,,,,,,,,,,3,20,TBC,2021,nurburgring,Nürburgring,Nürburg,Germany,50.3356,6.9475,578,,,,,,,,
1055,,,,,,,,,,,,4,4,Spanish Grand Prix,2021,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,109,,,,,,,,
1056,,,,,,,,,,,,5,6,Monaco Grand Prix,2021,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,7,,,,,,,,
1057,,,,,,,,,,,,6,73,Azerbaijan Grand Prix,2021,BAK,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533,-7,,,,,,,,
1058,,,,,,,,,,,,7,7,Canadian Grand Prix,2021,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,13,,,,,,,,
1059,,,,,,,,,,,,8,34,French Grand Prix,2021,ricard,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167,432,,,,,,,,
1060,,,,,,,,,,,,9,70,Austrian Grand Prix,2021,red_bull_ring,Red Bull Ring,Spielburg,Austria,47.2197,14.7647,678,,,,,,,,
1061,,,,,,,,,,,,10,9,British Grand Prix,2021,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,153,,,,,,,,
1062,,,,,,,,,,,,11,11,Hungarian Grand Prix,2021,hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486,264,,,,,,,,
1063,,,,,,,,,,,,12,13,Belgian Grand Prix,2021,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,401,,,,,,,,
1064,,,,,,,,,,,,13,39,Dutch Grand Prix,2021,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,6,,,,,,,,
1065,,,,,,,,,,,,14,14,Italian Grand Prix,2021,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,162,,,,,,,,
1066,,,,,,,,,,,,15,71,Russian Grand Prix,2021,sochi,Sochi Autodrom,Sochi,Russia,43.4057,39.9578,2,,,,,,,,
1067,,,,,,,,,,,,16,15,Singapore Grand Prix,2021,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,18,,,,,,,,
