race_id,driver_id,constructor_id,position
18,1,1,1
18,9,2,2
18,5,1,3
18,13,6,4
18,2,2,5
18,15,7,6
18,3,3,7
18,14,9,8
18,10,7,9
18,20,5,10
18,22,11,11
18,4,4,12
18,18,11,13
18,6,3,14
18,17,9,15
18,8,6,16
18,21,10,17
18,7,5,18
18,16,10,19
18,11,8,20
18,12,4,21
18,19,8,22
19,13,6,1
19,8,6,2
19,5,1,3
19,1,1,4
19,15,7,5
19,9,2,6
19,2,2,7
19,17,9,8
19,4,4,9
19,10,7,10
19,18,11,11
19,14,9,12
19,12,4,13
19,22,11,14
19,20,5,15
19,3,3,16
19,21,10,17
19,6,3,18
19,7,5,19
19,11,8,20
19,16,10,21
19,19,8,22
20,9,2,1
20,13,6,2
20,1,1,3
20,8,6,4
20,5,1,5
20,2,2,6
20,15,7,7
20,3,3,8
20,18,11,9
20,4,4,10
20,17,9,11
20,22,11,12
20,10,7,13
20,12,4,14
20,7,5,15
20,6,3,16
20,14,9,17
20,21,10,18
20,20,5,19
20,16,10,20
20,19,8,21
20,11,8,22
21,8,6,1
21,4,4,2
21,13,6,3
21,9,2,4
21,1,1,5
21,5,1,6
21,17,9,7
21,15,7,8
21,2,2,9
21,12,4,10
21,22,11,11
21,6,3,12
21,18,11,13
21,10,7,14
21,3,3,15
21,7,5,16
21,14,9,17
21,20,5,18
21,21,10,19
21,16,10,20
21,19,8,21
21,11,8,22
22,13,6,1
22,5,1,2
22,1,1,3
22,8,6,4
22,9,2,5
22,17,9,6
22,4,4,7
22,15,7,8
22,2,2,9
22,14,9,10
22,3,3,11
22,22,11,12
22,18,11,13
22,20,5,14
22,10,7,15
22,6,3,16
22,12,4,17
22,7,5,18
22,21,10,19
22,16,10,20
23,13,6,1
23,8,6,2
23,1,1,3
23,5,1,4
23,9,2,5
23,3,3,6
23,4,4,7
23,15,7,8
23,17,9,9
23,14,9,10
23,10,7,11
23,18,11,12
23,2,2,13
23,6,3,14
23,22,11,15
23,7,5,16
23,12,4,17
23,20,5,18
23,16,10,19
23,21,10,20
24,1,1,1
24,9,2,2
24,8,6,3
24,4,4,4
24,3,3,5
24,13,6,6
24,5,1,7
24,2,2,8
24,22,11,9
24,17,9,10
24,10,7,11
24,6,3,12
24,14,9,13
24,15,7,14
24,12,4,15
24,7,5,16
24,16,10,17
24,21,10,18
24,18,11,19
24,20,5,20
25,8,6,1
25,13,6,2
25,1,1,3
25,4,4,4
25,15,7,5
25,5,1,6
25,9,2,7
25,17,9,8
25,14,9,9
25,10,7,10
25,12,4,11
25,2,2,12
25,20,5,13
25,7,5,14
25,3,3,15
25,6,3,16
25,18,11,17
25,22,11,18
25,21,10,19
25,16,10,20
26,5,1,1
26,17,9,2
26,8,6,3
26,1,1,4
26,2,2,5
26,4,4,6
26,12,4,7
26,20,5,8
26,13,6,9
26,9,2,10
26,14,9,11
26,10,7,12
26,7,5,13
26,15,7,14
26,6,3,15
26,22,11,16
26,18,11,17
26,3,3,18
26,16,10,19
26,21,10,20
27,1,1,1
27,13,6,2
27,5,1,3
27,15,7,4
27,4,4,5
27,8,6,6
27,9,2,7
27,17,9,8
27,20,5,9
27,14,9,10
27,10,7,11
27,2,2,12
27,3,3,13
27,18,11,14
27,7,5,15
27,6,3,16
27,12,4,17
27,22,11,18
27,16,10,19
27,21,10,20
28,1,1,1
28,5,1,2
28,13,6,3
28,9,2,4
