race_id,round,circuit_id,name,race_year
1053,2,21,Emilia Romagna Grand Prix,2021
1052,1,3,Bahrain Grand Prix,2021
1051,21,1,Australian Grand Prix,2021
1054,3,20,TBC,2021
1055,4,4,Spanish Grand Prix,2021
1056,5,6,Monaco Grand Prix,2021
1057,6,73,Azerbaijan Grand Prix,2021
1058,7,7,Canadian Grand Prix,2021
1059,8,34,French Grand Prix,2021
1060,9,70,Austrian Grand Prix,2021
1061,10,9,British Grand Prix,2021
1062,11,11,Hungarian Grand Prix,2021
1063,12,13,Belgian Grand Prix,2021
1064,13,39,Dutch Grand Prix,2021
1065,14,14,Italian Grand Prix,2021
1066,15,71,Russian Grand Prix,2021
1067,16,15,Singapore Grand Prix,2021
1068,17,22,Japanese Grand Prix,2021
1069,18,69,United States Grand Prix,2021
1070,19,32,Mexico City Grand Prix,2021
1071,20,18,Brazilian Grand Prix,2021
1072,22,77,Saudi Arabian Grand Prix,2021
1073,23,24,Abu Dhabi Grand Prix,2021
989,1,1,Australian Grand Prix,2018
990,2,3,Bahrain Grand Prix,2018
991,3,17,Chinese Grand Prix,2018
992,4,73,Azerbaijan Grand Prix,2018
993,5,4,Spanish Grand Prix,2018
994,6,6,Monaco Grand Prix,2018
995,7,7,Canadian Grand Prix,2018
996,8,34,French Grand Prix,2018
997,9,70,Austrian Grand Prix,2018
998,10,9,British Grand Prix,2018
999,11,10,German Grand Prix,2018
1000,12,11,Hungarian Grand Prix,2018
1001,13,13,Belgian Grand Prix,2018
1002,14,14,Italian Grand Prix,2018
1003,15,15,Singapore Grand Prix,2018
1004,16,71,Russian Grand Prix,2018
1005,17,22,Japanese Grand Prix,2018
1006,18,69,United States Grand Prix,2018
1007,19,32,Mexican Grand Prix,2018
1008,20,18,Brazilian Grand Prix,2018
1009,21,24,Abu Dhabi Grand Prix,2018
1010,1,1,Australian Grand Prix,2019
1011,2,3,Bahrain Grand Prix,2019
1012,3,17,Chinese Grand Prix,2019
1013,4,73,Azerbaijan Grand Prix,2019
1014,5,4,Spanish Grand Prix,2019
1015,6,6,Monaco Grand Prix,2019
1016,7,7,Canadian Grand Prix,2019
1017,8,34,French Grand Prix,2019
1018,9,70,Austrian Grand Prix,2019
1019,10,9,British Grand Prix,2019
1020,11,10,German Grand Prix,2019
1021,12,11,Hungarian Grand Prix,2019
