race_id,driver_id,constructor_id,grid,position_order,points,laps
18,1,1,1,1,10.0,58
18,2,2,5,2,8.0,58
18,3,3,7,3,6.0,58
18,4,4,11,4,5.0,58
18,5,1,3,5,4.0,58
18,6,3,13,6,3.0,57
18,7,5,17,7,2.0,55
18,8,6,15,8,1.0,53
18,9,2,2,9,0.0,47
18,10,7,18,10,0.0,43
18,11,8,19,11,0.0,32
18,12,4,20,12,0.0,30
18,13,6,4,13,0.0,29
18,14,9,8,14,0.0,25
18,15,7,6,15,0.0,19
18,16,10,22,16,0.0,8
18,17,9,14,17,0.0,0
18,18,11,12,18,0.0,0
18,19,8,21,19,0.0,0
18,20,5,9,20,0.0,0
18,21,10,16,21,0.0,0
18,22,11,10,22,0.0,58
19,8,6,2,1,10.0,56
19,9,2,4,2,8.0,56
19,5,1,8,3,6.0,56
19,15,7,3,4,5.0,56
19,1,1,9,5,4.0,56
19,2,2,5,6,3.0,56
19,17,9,6,7,2.0,56
19,4,4,7,8,1.0,56
19,14,9,12,9,0.0,56
19,18,11,11,10,0.0,56
19,12,4,13,11,0.0,56
19,21,10,17,12,0.0,55
19,22,11,14,13,0.0,55
19,3,3,16,14,0.0,55
19,19,8,21,15,0.0,55
19,11,8,19,16,0.0,54
19,6,3,22,17,0.0,54
19,20,5,15,18,0.0,39
19,13,6,1,19,0.0,30
19,16,10,20,20,0.0,5
19,10,7,10,21,0.0,1
19,7,5,18,22,0.0,0
20,13,6,2,1,10.0,57
20,8,6,4,2,8.0,57
20,9,2,1,3,6.0,57
20,2,2,6,4,5.0,57
20,5,1,5,5,4.0,57
20,15,7,7,6,3.0,57
20,17,9,11,7,2.0,57
20,3,3,8,8,1.0,57
20,10,7,13,9,0.0,57
20,4,4,10,10,0.0,57
20,22,11,12,11,0.0,57
20,21,10,18,12,0.0,56
20,1,1,3,13,0.0,56
20,6,3,16,14,0.0,56
20,7,5,15,15,0.0,56
20,19,8,21,16,0.0,56
20,11,8,22,17,0.0,56
20,14,9,17,18,0.0,56
20,16,10,20,19,0.0,56
20,12,4,14,20,0.0,40
20,18,11,9,21,0.0,19
20,20,5,19,22,0.0,0
21,8,6,1,1,10.0,66
21,13,6,3,2,8.0,66
21,1,1,5,3,6.0,66
21,9,2,4,4,5.0,66
21,17,9,7,5,4.0,66
21,18,11,13,6,3.0,66
21,6,3,12,7,2.0,66
21,15,7,8,8,1.0,66
21,2,2,9,9,0.0,66
21,21,10,19,10,0.0,65
21,10,7,14,11,0.0,65
21,14,9,17,12,0.0,65
21,11,8,22,13,0.0,65
21,3,3,15,14,0.0,41
21,4,4,2,15,0.0,34
21,22,11,11,16,0.0,34
21,5,1,6,17,0.0,21
21,19,8,21,18,0.0,8
21,7,5,16,19,0.0,7
21,12,4,10,20,0.0,6
21,16,10,20,21,0.0,0
21,20,5,18,22,0.0,0
22,13,6,1,1,10.0,58
22,1,1,3,2,8.0,58
22,8,6,4,3,6.0,58
22,9,2,5,4,5.0,58
22,2,2,9,5,4.0,58
22,4,4,7,6,3.0,58
22,17,9,6,7,2.0,58
22,3,3,11,8,1.0,58
22,14,9,10,9,0.0,58
22,15,7,8,10,0.0,58
22,18,11,13,11,0.0,57
22,5,1,2,12,0.0,57
22,10,7,15,13,0.0,57
22,22,11,12,14,0.0,57
22,12,4,17,15,0.0,57
22,16,10,19,16,0.0,57
22,20,5,14,17,0.0,57
22,7,5,18,18,0.0,24
22,6,3,16,19,0.0,1
22,21,10,20,20,0.0,0
23,1,1,3,1,10.0,76
23,9,2,5,2,8.0,76
23,13,6,1,3,6.0,76
23,17,9,9,4,5.0,76
23,20,5,19,5,4.0,76
23,22,11,14,6,3.0,76
23,6,3,13,7,2.0,76
23,5,1,4,8,1.0,76
23,8,6,2,9,0.0,76
23,4,4,7,10,0.0,75
23,18,11,11,11,0.0,75
23,10,7,10,12,0.0,75
23,15,7,8,13,0.0,75
23,2,2,12,14,0.0,72
23,16,10,18,15,0.0,67
23,3,3,6,16,0.0,59
23,12,4,17,17,0.0,47
23,21,10,20,18,0.0,36
23,14,9,15,19,0.0,7
23,7,5,16,20,0.0,7
24,9,2,2,1,10.0,70
24,2,2,8,2,8.0,70
24,14,9,13,3,6.0,70
24,10,7,11,4,5.0,70
24,13,6,6,5,4.0,70
24,15,7,14,6,3.0,70
24,22,11,9,7,2.0,70
24,20,5,19,8,1.0,70
24,5,1,7,9,0.0,70
24,3,3,5,10,0.0,70
24,18,11,20,11,0.0,70
24,17,9,10,12,0.0,70
24,7,5,18,13,0.0,69
24,21,10,17,14,0.0,51
24,6,3,12,15,0.0,46
24,4,4,4,16,0.0,44
24,12,4,15,17,0.0,43
24,8,6,3,18,0.0,19
24,1,1,1,19,0.0,19
24,16,10,16,20,0.0,13
25,13,6,2,1,10.0,70
25,8,6,1,2,8.0,70
25,15,7,4,3,6.0,70
25,5,1,10,4,5.0,70
25,9,2,5,5,4.0,70
25,17,9,6,6,3.0,70
25,12,4,9,7,2.0,70
25,4,4,3,8,1.0,70
25,14,9,7,9,0.0,70
25,1,1,13,10,0.0,70
25,10,7,8,11,0.0,70
25,20,5,12,12,0.0,70
25,2,2,11,13,0.0,70
25,22,11,20,14,0.0,69
25,6,3,15,15,0.0,69
25,3,3,19,16,0.0,69
25,7,5,14,17,0.0,69
25,21,10,17,18,0.0,69
25,16,10,18,19,0.0,69
25,18,11,16,20,0.0,16
26,1,1,4,1,10.0,60
26,2,2,5,2,8.0,60
26,22,11,16,3,6.0,60
26,8,6,3,4,5.0,59
26,5,1,1,5,4.0,59
26,4,4,6,6,3.0,59
26,15,7,14,7,2.0,59
26,6,3,15,8,1.0,59
26,3,3,20,9,0.0,59
26,17,9,2,10,0.0,59
26,7,5,13,11,0.0,59
26,10,7,12,12,0.0,59
26,13,6,9,13,0.0,58
26,9,2,10,14,0.0,39
26,18,11,17,15,0.0,38
26,12,4,7,16,0.0,35
26,21,10,19,17,0.0,16
26,16,10,18,18,0.0,10
26,20,5,8,19,0.0,0
26,14,9,11,20,0.0,0
27,1,1,1,1,10.0,67
27,12,4,17,2,8.0,67
27,13,6,2,3,6.0,67
27,2,2,12,4,5.0,67
27,5,1,3,5,4.0,67
27,8,6,6,6,3.0,67
27,9,2,7,7,2.0,67
27,20,5,9,8,1.0,67
27,15,7,4,9,0.0,67
27,3,3,13,10,0.0,67
27,4,4,5,11,0.0,67
27,7,5,15,12,0.0,67
27,14,9,10,13,0.0,67
27,6,3,16,14,0.0,67
27,16,10,19,15,0.0,67
27,21,10,20,16,0.0,67
27,18,11,14,17,0.0,66
27,22,11,18,18,0.0,50
27,17,9,8,19,0.0,40
27,10,7,11,20,0.0,35
28,5,1,2,1,10.0,70
28,10,7,5,2,8.0,70
28,8,6,6,3,6.0,70
28,4,4,7,4,5.0,70
28,1,1,1,5,4.0,70
28,12,4,10,6,3.0,70
28,15,7,9,7,2.0,70
28,9,2,4,8,1.0,70
28,17,9,8,9,0.0,70
28,2,2,15,10,0.0,70
28,14,9,13,11,0.0,70
28,18,11,12,12,0.0,69
28,6,3,16,13,0.0,69
28,3,3,14,14,0.0,69
28,21,10,18,15,0.0,69
28,22,11,17,16,0.0,68
28,13,6,3,17,0.0,67
28,7,5,19,18,0.0,67
28,16,10,20,19,0.0,62
28,20,5,11,20,0.0,22
29,13,6,1,1,10.0,57
29,1,1,2,2,8.0,57
29,9,2,3,3,6.0,57
29,5,1,5,4,5.0,57
29,15,7,7,5,4.0,57
29,20,5,6,6,3.0,57
29,10,7,13,7,2.0,57
29,3,3,9,8,1.0,57
29,2,2,8,9,0.0,57
29,7,5,10,10,0.0,57
29,12,4,15,11,0.0,57
29,17,9,14,12,0.0,56
29,18,11,16,13,0.0,56
29,21,10,18,14,0.0,56
29,6,3,11,15,0.0,56
29,22,11,19,16,0.0,56
29,14,9,17,17,0.0,56
29,8,6,4,18,0.0,45
29,16,10,20,19,0.0,41
29,4,4,12,20,0.0,0
30,13,6,2,1,10.0,44
30,2,2,5,2,8.0,44
30,1,1,1,3,6.0,44
30,4,4,6,4,5.0,44
30,20,5,10,5,4.0,44
30,9,2,8,6,3.0,44
30,7,5,9,7,2.0,44
30,17,9,7,8,1.0,44
30,10,7,13,9,0.0,44
30,5,1,3,10,0.0,43
30,14,9,14,11,0.0,43
30,3,3,15,12,0.0,43
30,16,10,18,13,0.0,43
30,6,3,19,14,0.0,43
30,18,11,17,15,0.0,43
30,15,7,11,16,0.0,43
30,21,10,20,17,0.0,43
30,8,6,4,18,0.0,42
30,22,11,16,19,0.0,19
30,12,4,12,20,0.0,13
31,20,5,1,1,10.0,53
31,5,1,2,2,8.0,53
31,9,2,11,3,6.0,53
31,4,4,8,4,5.0,53
31,2,2,10,5,4.0,53
31,13,6,6,6,3.0,53
31,1,1,15,7,2.0,53
31,17,9,3,8,1.0,53
31,8,6,14,9,0.0,53
31,12,4,17,10,0.0,53
31,10,7,9,11,0.0,53
31,6,3,18,12,0.0,53
31,15,7,7,13,0.0,53
31,3,3,5,14,0.0,53
31,18,11,19,15,0.0,53
31,14,9,13,16,0.0,52
31,22,11,16,17,0.0,52
31,7,5,4,18,0.0,52
31,16,10,20,19,0.0,51
31,21,10,12,20,0.0,11
32,4,4,15,1,10.0,61
32,3,3,8,2,8.0,61
32,1,1,2,3,6.0,61
32,10,7,7,4,5.0,61
32,20,5,6,5,4.0,61
32,2,2,9,6,3.0,61
32,14,9,14,7,2.0,61
32,6,3,10,8,1.0,61
32,18,11,12,9,0.0,61
32,5,1,5,10,0.0,61
32,9,2,4,11,0.0,61
32,7,5,17,12,0.0,61
32,13,6,1,13,0.0,61
32,21,10,20,14,0.0,61
32,8,6,3,15,0.0,57
32,15,7,11,16,0.0,50
32,16,10,19,17,0.0,49
32,17,9,13,18,0.0,29
32,22,11,18,19,0.0,14
32,12,4,16,20,0.0,13
33,4,4,4,1,10.0,67
33,9,2,6,2,8.0,67
33,8,6,2,3,6.0,67
33,12,4,12,4,5.0,67
33,15,7,7,5,4.0,67
33,20,5,9,6,3.0,67
33,13,6,5,7,2.0,67
33,17,9,13,8,1.0,67
33,2,2,16,9,0.0,67
33,7,5,10,10,0.0,67
33,3,3,15,11,0.0,67
33,1,1,1,12,0.0,67
33,22,11,17,13,0.0,66
33,18,11,18,14,0.0,66
33,6,3,14,15,0.0,66
33,21,10,20,16,0.0,21
33,5,1,3,17,0.0,16
33,16,10,19,18,0.0,8
33,10,7,8,19,0.0,6
33,14,9,11,20,0.0,0
34,1,1,1,1,10.0,56
34,13,6,3,2,8.0,56
34,8,6,2,3,6.0,56
34,4,4,4,4,5.0,56
34,2,2,9,5,4.0,56
34,9,2,11,6,3.0,56
34,10,7,12,7,2.0,56
34,12,4,10,8,1.0,56
34,20,5,6,9,0.0,56
34,14,9,15,10,0.0,56
34,22,11,13,11,0.0,56
34,6,3,17,12,0.0,56
34,7,5,8,13,0.0,56
34,17,9,16,14,0.0,56
34,3,3,14,15,0.0,55
34,18,11,18,16,0.0,55
34,21,10,20,17,0.0,55
34,5,1,5,18,0.0,49
34,16,10,19,19,0.0,13
34,15,7,7,20,0.0,2
35,13,6,1,1,10.0,71
35,4,4,6,2,8.0,71
35,8,6,3,3,6.0,71
35,20,5,7,4,5.0,71
35,1,1,4,5,4.0,71
35,10,7,10,6,3.0,71
35,5,1,5,7,2.0,71
35,15,7,2,8,1.0,71
35,17,9,12,9,0.0,71
35,2,2,8,10,0.0,70
35,9,2,13,11,0.0,70
35,3,3,18,12,0.0,70
35,18,11,17,13,0.0,70
35,7,5,9,14,0.0,70
35,22,11,15,15,0.0,70
35,16,10,20,16,0.0,69
35,6,3,16,17,0.0,69
35,21,10,19,18,0.0,69
35,12,4,11,19,0.0,0
35,14,9,14,20,0.0,0
36,8,6,1,1,10.0,58
36,4,1,2,2,8.0,58
36,1,1,4,3,6.0,58
36,2,2,3,4,5.0,58
36,21,4,6,5,4.0,58
36,13,6,22,6,3.0,58
36,3,3,12,7,2.0,57
36,23,7,9,8,1.0,57
36,15,7,8,9,0.0,57
36,5,4,13,10,0.0,57
36,22,11,16,11,0.0,57
36,11,8,10,12,0.0,57
36,17,9,7,13,0.0,57
36,24,5,19,14,0.0,57
36,18,11,14,15,0.0,57
36,19,8,11,16,0.0,56
36,16,12,20,17,0.0,56
36,25,3,15,18,0.0,48
36,14,9,18,19,0.0,48
36,9,2,5,20,0.0,36
36,26,5,17,21,0.0,28
36,27,12,21,22,0.0,10
37,4,1,2,1,10.0,56
37,1,1,4,2,8.0,56
37,8,6,3,3,6.0,56
37,2,2,5,4,5.0,56
37,13,6,1,5,4.0,56
37,21,4,12,6,3.0,56
37,15,7,8,7,2.0,56
37,5,4,11,8,1.0,56
37,25,3,19,9,0.0,56
37,17,9,10,10,0.0,56
37,22,11,22,11,0.0,55
37,18,11,15,12,0.0,55
37,11,8,14,13,0.0,55
37,26,5,17,14,0.0,55
37,23,7,9,15,0.0,55
37,19,8,18,16,0.0,55
37,24,5,16,17,0.0,55
37,9,2,7,18,0.0,55
37,3,3,6,19,0.0,42
37,14,9,13,20,0.0,36
37,27,12,20,21,0.0,7
37,16,12,21,22,0.0,0
38,13,6,1,1,10.0,57
38,1,1,2,2,8.0,57
38,8,6,3,3,6.0,57
